 Scan The fastest combinaison 32

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 32 X 32  ,   # Sub-Intervals= 1

| Sub-Intervals| 		| -1.08 -- 0 |
| List M0 |   		          | 597 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	6	 inf	   20.635	   29.418	   0.899	  30.390	 20	460	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	6	 inf	   20.635	   29.342	   0.641	  30.000	 20	460	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	6	 inf	   20.635	   24.090	   0.642	  24.749	 20	460	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	6	 inf	   20.635	   24.017	   0.643	  24.677	 20	460	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	12	 inf	   20.635	   25.236	   0.639	  25.892	 20	460	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	12	 inf	   20.635	   29.421	   0.643	  30.081	 20	460	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	12	 inf	   20.635	   23.367	   0.642	  24.026	 20	460	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	12	 inf	   20.635	   23.357	   0.645	  24.019	 20	460	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	6	 inf	   21.489	   25.201	   0.645	  25.862	 20	445	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	6	 inf	   21.489	   25.223	   0.645	  25.885	 20	445	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	6	 inf	   21.489	   25.341	   0.649	  26.008	 20	445	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	6	 inf	   21.489	   25.369	   0.651	  26.037	 20	445	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	12	 inf	   21.489	   28.616	   0.650	  29.283	 20	445	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	12	 inf	   21.489	   29.382	   0.644	  30.043	 20	445	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	12	 inf	   21.489	   21.176	   0.646	  21.839	 20	445	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	12	 inf	   21.489	   21.226	   0.649	  21.892	 20	445	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	6	 inf	   24.591	   3.591	   0.650	  4.257	 2	477	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	6	 inf	   24.591	   3.652	   0.644	  4.310	 2	477	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	6	 inf	   24.591	   3.846	   0.639	  4.499	 2	477	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	6	 inf	   24.591	   3.763	   0.645	  4.424	 2	477	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	12	 inf	   24.591	   4.142	   0.641	  4.797	 2	477	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	12	 inf	   24.591	   4.156	   0.641	  4.811	 2	477	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	12	 inf	   24.591	   3.771	   0.646	  4.431	 2	477	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	12	 inf	   24.591	   3.761	   0.640	  4.415	 2	477	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 100	0	6	 inf	   25.132	   4.135	   0.650	  4.798	 2	477	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 100	0	6	 inf	   25.132	   4.146	   0.646	  4.806	 2	477	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 100	0	6	 inf	   25.132	   3.776	   0.641	  4.430	 2	477	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 100	0	6	 inf	   25.132	   3.522	   0.650	  4.185	 2	477	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 100	0	12	 inf	   25.132	   4.250	   0.646	  4.910	 2	477	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 100	0	12	 inf	   25.132	   4.083	   0.647	  4.744	 2	477	3	0	1	0	0
