 Scan The fastest combinaison 32

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 32 X 32  ,   # Sub-Intervals= 1

| Sub-Intervals| 		| -1.08 -- 0 |
| List M0 |   		          | 597 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	6	 inf	   20.635	   25.436	   0.897	  26.366	 20	460	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	6	 inf	   20.635	   23.397	   0.641	  24.055	 20	460	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	6	 inf	   20.635	   24.690	   0.640	  25.348	 20	460	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	6	 inf	   20.635	   21.147	   0.635	  21.800	 20	460	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	12	 inf	   20.635	   23.859	   0.638	  24.514	 20	460	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	12	 inf	   20.635	   23.096	   0.642	  23.755	 20	460	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	12	 inf	   20.635	   24.386	   0.633	  25.036	 20	460	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	0	12	 inf	   20.635	   24.940	   0.634	  25.592	 20	460	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	6	 inf	   21.489	   28.485	   0.645	  29.148	 20	445	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	6	 inf	   21.489	   25.422	   0.643	  26.082	 20	445	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	6	 inf	   21.489	   28.433	   0.640	  29.090	 20	445	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	6	 inf	   21.489	   25.292	   0.638	  25.947	 20	445	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	12	 inf	   21.489	   28.571	   0.641	  29.230	 20	445	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	12	 inf	   21.489	   25.368	   0.636	  26.021	 20	445	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	12	 inf	   21.489	   28.559	   0.636	  29.212	 20	445	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	1	12	 inf	   21.489	   25.366	   0.643	  26.026	 20	445	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	6	 inf	   24.591	   4.147	   0.642	  4.807	 2	477	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	6	 inf	   24.591	   3.787	   0.633	  4.434	 2	477	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	6	 inf	   24.591	   4.135	   0.644	  4.793	 2	477	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	6	 inf	   24.591	   3.778	   0.639	  4.431	 2	477	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	12	 inf	   24.591	   4.137	   0.641	  4.792	 2	477	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	12	 inf	   24.591	   3.777	   0.643	  4.434	 2	477	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	12	 inf	   24.591	   4.143	   0.634	  4.792	 2	477	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 1	2	12	 inf	   24.591	   3.780	   0.639	  4.432	 2	477	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	477	  8	 100	0	6	 inf	   25.132	   4.139	   0.644	  4.803	 2	477	3	0	0	0	0
