 Scan The fastest combinaison 32

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 32 X 32  ,   # Sub-Intervals= 1

| Sub-Intervals| 		| -1.08 -- 0 |
| List M0 |   		          | 597 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	2	6	 inf	   17.235	   3.139	   0.647	  3.800	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	2	6	 inf	   17.235	   3.153	   0.647	  3.813	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	2	6	 inf	   17.235	   2.766	   0.654	  3.433	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	2	6	 inf	   17.235	   2.757	   0.646	  3.417	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	2	12	 inf	   17.235	   3.126	   0.653	  3.792	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	2	12	 inf	   17.235	   3.134	   0.662	  3.817	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	2	12	 inf	   17.235	   2.767	   0.646	  3.426	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	2	12	 inf	   17.235	   2.754	   0.657	  3.425	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	0	6	 inf	   14.530	   50.559	   0.648	  51.220	 20	313	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	0	6	 inf	   14.530	   50.760	   0.650	  51.426	 20	313	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	0	6	 inf	   14.530	   29.396	   0.656	  30.069	 20	313	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	0	6	 inf	   14.530	   26.642	   0.675	  27.333	 20	313	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	0	12	 inf	   14.530	   50.384	   0.650	  51.050	 20	313	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	0	12	 inf	   14.530	   50.506	   0.651	  51.174	 20	313	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	0	12	 inf	   14.530	   26.588	   0.649	  27.254	 20	313	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	0	12	 inf	   14.530	   26.548	   0.651	  27.216	 20	313	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	1	6	 inf	   15.113	   50.392	   0.655	  51.064	 20	314	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	1	6	 inf	   15.113	   50.565	   0.655	  51.237	 20	314	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	1	6	 inf	   15.113	   26.510	   0.652	  27.179	 20	314	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	1	6	 inf	   15.113	   26.547	   0.650	  27.213	 20	314	2	1	1	0	0
