 Scan The fastest combinaison 64

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 64 X 64  ,   # Sub-Intervals= 8

| Sub-Intervals| 		| -1.09 -- -0.556 -- -0.454 -- -0.366 -- -0.285 -- -0.209 -- -0.138 -- -0.0689 -- 0 |
| List M0 |   		          | 337 -- 325 -- 334 -- 332 -- 331 -- 344 -- 339 -- 338 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 100	1	12	 inf	   23.888	   116.424	   475.271	  591.894	 2	2141	24	0	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 100	1	12	 inf	   23.888	   65.507	   477.104	  542.809	 2	2141	24	1	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 100	2	6	 inf	   23.812	   115.751	   475.731	  591.677	 2	2141	24	0	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 100	2	6	 inf	   23.812	   63.675	   473.092	  536.961	 2	2141	24	1	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 100	2	6	 inf	   23.812	   116.325	   473.868	  590.388	 2	2141	24	0	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 100	2	6	 inf	   23.812	   63.057	   473.334	  536.584	 2	2141	24	1	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 100	2	12	 inf	   23.812	   116.418	   473.334	  589.946	 2	2141	24	0	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 100	2	12	 inf	   23.812	   63.308	   472.365	  535.868	 2	2141	24	1	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 100	2	12	 inf	   23.812	   117.996	   474.878	  593.070	 2	2141	24	0	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 100	2	12	 inf	   23.812	   63.632	   477.209	  541.035	 2	2141	24	1	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	0	6	 inf	   20.119	   4756.698	   472.342	  5229.260	 20	1935	16	0	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	0	6	 inf	   20.119	   1132.102	   475.249	  1607.658	 20	1935	16	1	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	0	6	 inf	   20.119	   4783.904	   477.618	  5261.755	 20	1935	16	0	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	0	6	 inf	   20.119	   1143.251	   478.400	  1622.010	 20	1935	16	1	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	0	12	 inf	   20.119	   4746.482	   477.464	  5224.180	 20	1935	16	0	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	0	12	 inf	   20.119	   1145.674	   476.301	  1622.323	 20	1935	16	1	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	0	12	 inf	   20.119	   4797.773	   478.772	  5276.812	 20	1935	16	0	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	0	12	 inf	   20.119	   1147.884	   480.620	  1628.810	 20	1935	16	1	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	1	6	 inf	   18.788	   4771.447	   479.019	  5250.688	 20	1825	16	0	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	1	6	 inf	   18.788	   1130.507	   477.406	  1608.254	 20	1825	16	1	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	1	6	 inf	   18.788	   4753.635	   478.399	  5232.265	 20	1825	16	0	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	1	6	 inf	   18.788	   1128.114	   478.148	  1606.640	 20	1825	16	1	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	1	12	 inf	   18.788	   4777.746	   479.806	  5257.774	 20	1825	16	0	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  56	 1	1	12	 inf	   18.788	   1125.808	   479.926	  1605.995	 20	1825	16	1	0	0	0
