MKL Double 
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info 
	0.310000	0.500000	1.000000	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 -8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	15.590663	16.732963	93.173355	N/A	1811	0
Feast Double
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	11	6	20	0	1	0	10	0	1811	-2.555264	0.000000	5	-5.328291e-05	-7.758208e-01	inf	48.397190	0.000000	0.000014	1220.163447	1221.297050	99.907180	10	1811	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	10	0	1911	-2.555264	0.000000	5	-8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	445.815101	446.975133	99.740471	4	1811	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	10	0	2011	-2.555264	0.000000	5	-8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	304.375147	305.597595	99.599981	3	1811	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1711	-0.511053	0.000000	1	-7.989392e-05	-5.109009e-01	inf	17.832912	0.000000	0.016471	899.031419	900.067754	99.884860	22	1489	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1389	-1.533158	0.000000	3	-5.219869e-02	-7.758197e-01	inf	25.843975	0.000000	0.002604	136.456921	137.440448	99.284398	6	1389	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1489	-1.533158	0.000000	3	-2.352539e-02	-7.758202e-01	inf	28.632771	0.000000	0.001370	162.971013	164.006510	99.368624	6	1489	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1589	-1.533158	0.000000	3	-1.438679e-02	-7.758208e-01	inf	33.172489	0.000000	0.000482	264.469177	265.531503	99.599925	8	1589	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1689	-1.533158	0.000000	3	-5.034692e-03	-7.758208e-01	inf	40.291718	0.000000	0.000094	525.292472	526.450149	99.780097	13	1689	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1789	-1.533158	0.000000	3	-5.798873e-04	-7.758208e-01	inf	47.664207	0.000000	0.000017	995.973704	997.082862	99.888760	22	1773	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1889	-1.533158	0.000000	3	-1.840387e-04	-7.758208e-01	inf	48.457825	0.000000	0.000014	1096.257811	1097.374519	99.898238	22	1801	2
