	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	300	-0.304136	0.000000	1	-1.182711e-03	-3.028506e-01	inf	11.568511	0.000000	0.069687	9.998256	10.078756	99.201289	22	239	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	13.315135	13.381574	99.503503	21	239	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	500	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	12.156613	12.222838	99.458186	15	239	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	300	-0.912407	0.000000	3	-1.189642e-01	-7.503039e-01	inf	25.780285	0.000000	0.002642	9.738939	9.807317	99.302786	22	299	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	400	-0.912407	0.000000	3	-2.563245e-03	-7.758603e-01	inf	47.968273	0.000000	0.000016	17.660145	17.732131	99.594037	22	399	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	500	-0.912407	0.000000	3	-1.182691e-03	-7.758603e-01	inf	47.737232	0.000000	0.000017	18.115685	18.187908	99.602907	22	406	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	300	-1.520679	0.000000	5	-3.929655e-02	-7.758451e-01	inf	24.532633	0.000000	0.003522	2.119082	2.187643	96.865984	5	300	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	400	-1.520679	0.000000	5	-2.985792e-03	-7.758603e-01	inf	47.447636	0.000000	0.000018	18.678794	18.750633	99.616871	22	397	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	500	-1.520679	0.000000	5	-1.174542e-03	-7.758603e-01	inf	47.736534	0.000000	0.000017	18.370440	18.442590	99.608786	22	406	2
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	300	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	5.563202	5.629612	98.820352	4	239	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	6.950859	7.017046	99.056770	4	239	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	500	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	7.340787	7.407170	99.103806	4	239	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	300	-0.912407	0.000000	3	-2.784711e-02	-6.915334e-01	inf	20.672987	0.000000	0.008564	5.653381	5.721997	98.800840	4	300	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	400	-0.912407	0.000000	3	-4.859414e-03	-7.647975e-01	inf	43.065025	0.000000	0.000049	7.184280	7.257424	98.992150	4	400	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	500	-0.912407	0.000000	3	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	5.510132	5.587570	98.614100	3	406	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	300	-1.520679	0.000000	5	-3.021537e-02	-6.925703e-01	inf	20.714523	0.000000	0.008483	5.665467	5.733919	98.806194	4	300	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	400	-1.520679	0.000000	5	-5.098801e-03	-7.646867e-01	inf	42.991600	0.000000	0.000050	6.843937	6.919362	98.909941	4	400	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	500	-1.520679	0.000000	5	-1.182719e-03	-7.758603e-01	inf	47.737309	0.000000	0.000017	5.595472	5.683900	98.444233	3	406	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	300	-0.304136	0.000000	1	-1.181533e-03	-3.028520e-01	inf	11.568569	0.000000	0.069686	10.813337	10.879791	99.389196	22	239	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568509	0.000000	0.069687	17.760408	17.826723	99.628003	22	239	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	500	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	13.055483	13.121767	99.494855	16	239	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	300	-0.912407	0.000000	3	-7.717451e-02	-6.886773e-01	inf	25.298685	0.000000	0.002952	3.153381	3.221979	97.870935	7	300	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	400	-0.912407	0.000000	3	-2.697075e-03	-7.758571e-01	inf	47.702011	0.000000	0.000017	18.715079	18.787054	99.616890	22	398	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	500	-0.912407	0.000000	3	-1.181115e-03	-7.758603e-01	inf	47.736809	0.000000	0.000017	18.493150	18.565259	99.611592	22	406	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	300	-1.520679	0.000000	5	-4.078982e-02	-7.755171e-01	inf	24.506977	0.000000	0.003542	3.255878	3.324434	97.937826	7	300	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	400	-1.520679	0.000000	5	-2.399831e-03	-7.758603e-01	inf	45.965611	0.000000	0.000025	14.313177	14.384919	99.501269	22	394	2
